age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
63.1,4,10,1,3,4,3,5,4,4,2
62,0,9,0,3,7,5,5,1,3,3
36.4,0,9,0,3,4,3,4,2,2,2
63.1,3,9,1,3,1,5,3,1,3,3
68.2,0,7,0,3,2,3,4,4,2,2
53.5,3,8,1,3,7,5,5,2,6,6
51.2,3,7,1,3,6,5,3,4,6,2
68,2,9,1,3,2,4,5,2,6,4
57.5,3,10,0,2,6,4,4,2,6,5
51.5,2,5,1,3,6,2,2,1,4,3
68,3,10,1,3,6,5,5,1,6,5
61.7,0,10,0,1,6,4,5,4,4,4
24.3,0,9,0,3,6,4,4,3,2,2
71.6,4,10,0,1,1,4,5,3,2,2
68.3,0,7,1,3,2,4,4,1,3,2
59.2,3,8,1,3,6,5,5,3,6,6
41.4,2,6,0,3,5,3,3,2,3,3
66.8,4,8,0,3,4,2,2,2,6,3
56.2,2,10,0,3,6,5,5,3,2,1
69.3,5,9,1,3,2,4,3,3,2,1
76.6,3,9,1,3,7,3,5,2,6,5
53.7,2,9,0,3,2,3,3,1,4,1
76,7,10,0,1,1,4,5,4,1,1
33,0,7,0,3,6,4,4,4,2,1
30.6,1,9,0,3,4,4,4,4,1,1
53.9,2,6,0,3,4,3,3,2,4,2
53.3,3,8,1,3,3,4,4,3,6,6
70.5,2,9,1,2,3,4,4,2,4,3
65.3,4,10,1,2,1,4,4,2,2,1
72.5,2,8,0,3,1,4,3,2,3,1
37,1,8,0,1,6,5,5,4,1,1
31.2,2,9,1,3,3,4,5,1,5,2
53.7,2,10,0,2,4,4,3,2,1,1
80,0,5,1,3,1,1,1,3,1,1
61.8,1,8,0,3,6,5,5,2,2,1
45.8,3,9,0,2,7,3,4,4,6,4
52.3,1,10,1,3,2,4,4,2,6,4
32.3,1,7,0,3,6,3,3,1,3,3
66.8,4,10,0,3,1,5,5,2,2,1
65.6,0,1,1,3,7,1,4,4,1,1
63.8,2,9,0,3,6,4,5,4,6,5
80,0,9,1,2,1,2,4,3,1,1
67.8,1,8,0,2,3,3,3,2,1,1
66.8,2,10,1,3,3,4,4,2,6,1
61.9,0,9,0,3,4,5,5,4,1,1
71.3,4,5,0,3,2,3,2,4,3,1
40.4,3,7,1,3,4,0,3,2,6,4
26,0,8,0,3,4,3,4,4,4,2
57.3,0,8,1,2,4,4,3,3,6,5
35.9,1,8,1,3,2,5,5,3,6,4
63.1,1,10,1,3,3,3,4,4,2,2
38.8,0,9,0,1,6,5,4,4,3,2
75,0,5,1,1,1,3,3,4,3,3
63.3,0,8,1,3,2,1,5,4,2,1
65.5,2,8,1,3,6,4,4,2,4,2
19.5,0,5,0,3,2,3,1,3,6,1
72.3,4,6,0,2,2,2,2,4,2,2
27.8,0,9,1,3,6,4,5,3,3,3
45.2,2,10,1,3,4,4,4,3,2,1
62.6,3,9,0,3,4,3,5,2,6,2
28.5,0,9,0,3,7,5,4,1,5,1
56.7,2,9,0,2,2,5,5,2,2,2
58.3,2,5,0,3,2,1,2,2,1,1
60.8,3,8,0,3,2,3,5,3,3,2
66.3,3,8,1,2,2,3,3,3,4,3
32.9,1,10,1,2,4,3,5,2,6,5
39.3,2,8,1,3,2,4,4,2,4,3
56.5,0,8,0,3,2,4,4,3,3,2
34.1,2,10,1,3,7,4,5,4,3,3
47.6,2,10,0,3,2,4,4,3,6,2
22.4,0,8,1,3,4,3,4,1,6,1
65.3,2,2,1,3,2,3,5,2,4,4
22,1,10,0,3,1,5,5,4,2,1
49.6,2,9,0,3,2,4,4,4,2,2
22.7,0,5,1,3,2,3,3,3,6,2
65.5,0,9,1,3,6,3,3,1,5,5
34.9,0,7,0,2,6,5,3,1,2,2
50.1,0,7,1,3,6,4,2,0,2,2
37.2,0,8,1,3,7,4,4,4,6,5
80,3,9,0,2,4,3,3,4,3,1
61.8,2,8,0,3,2,3,3,2,2,1
59.7,2,9,1,3,6,4,4,4,3,3
41.9,1,8,0,3,5,4,4,4,6,4
65.6,3,1,1,3,5,1,3,4,6,2
17.3,0,9,1,3,1,5,4,2,3,1
80,4,7,0,3,3,3,3,4,4,2
76.8,2,8,1,3,2,1,3,1,3,2
35.8,2,10,0,3,2,5,5,1,6,4
66.7,2,8,1,3,2,2,4,3,5,2
26.5,2,10,0,3,1,2,4,2,1,1
55.1,2,10,0,2,2,2,5,1,3,1
16.8,0,8,1,3,1,3,2,2,4,1
57.9,3,9,1,3,2,3,4,4,6,1
27.4,0,7,1,3,6,3,3,1,1,1
16.1,0,10,1,2,1,5,5,3,2,1
71.3,5,9,0,2,1,4,4,4,2,1
68.8,2,6,1,3,2,4,4,2,3,3
80,0,8,1,2,3,5,5,3,3,3
55,0,10,1,2,4,4,4,2,5,5
54.9,2,8,0,2,2,3,3,2,2,2
